t,x,y
5.832000e1,3.421216e2,1.425244e2
5.836000e1,3.433287e2,1.392206e2
5.840000e1,3.448849e2,1.353152e2
5.844000e1,3.462817e2,1.316765e2
5.848000e1,3.475862e2,1.275387e2
5.852000e1,3.487268e2,1.238276e2
5.856000e1,3.499190e2,1.200943e2
5.860000e1,3.508199e2,1.164311e2
5.864000e1,3.517182e2,1.124231e2
5.868000e1,3.527124e2,1.085262e2
5.872000e1,3.537115e2,1.052409e2
5.876000e1,3.547383e2,1.012823e2
5.880000e1,3.557079e2,9.728184e1
5.884000e1,3.564396e2,9.378627e1
5.888000e1,3.576857e2,8.976964e1
5.892000e1,3.586912e2,8.616722e1
5.896000e1,3.594314e2,8.253817e1
5.900000e1,3.605397e2,7.884830e1
5.904000e1,3.614459e2,7.503734e1
5.908000e1,3.620922e2,7.106464e1
5.912000e1,3.628105e2,6.738346e1
5.916000e1,3.635154e2,6.331308e1
5.920000e1,3.642390e2,5.922273e1
5.924000e1,3.650102e2,5.537818e1
5.928000e1,3.654408e2,5.123146e1
5.932000e1,3.657466e2,4.757201e1
5.936000e1,3.661702e2,4.416309e1
5.940000e1,3.664197e2,4.047160e1
5.944000e1,3.667801e2,3.692674e1
5.948000e1,3.669349e2,3.354274e1
5.952000e1,3.671517e2,2.993719e1
5.956000e1,3.669360e2,2.653666e1
5.960000e1,3.675116e2,2.328990e1
5.964000e1,3.678008e2,1.982674e1
5.968000e1,3.678726e2,1.652738e1
5.972000e1,3.678317e2,1.330026e1
5.976000e1,3.684703e2,9.443363e0
5.980000e1,3.683955e2,6.261923e0
5.984000e1,3.684917e2,2.744734e0
5.988000e1,3.690054e2,-1.163702e-1
5.992000e1,3.684493e2,-3.647212e0
5.996000e1,3.687973e2,-6.951801e0
6.000000e1,3.688389e2,-1.006127e1
6.004000e1,3.688519e2,-1.330271e1
6.008000e1,3.689097e2,-1.619037e1
6.012000e1,3.686283e2,-1.945282e1
6.016000e1,3.685901e2,-2.269636e1
6.020000e1,3.686192e2,-2.600220e1
6.024000e1,3.683611e2,-2.906539e1
6.028000e1,3.680115e2,-3.232794e1
6.032000e1,3.678298e2,-3.504043e1
6.036000e1,3.679073e2,-3.794855e1
6.040000e1,3.668055e2,-4.115716e1
6.044000e1,3.663602e2,-4.410759e1
6.048000e1,3.660155e2,-4.736065e1
6.052000e1,3.656717e2,-4.999308e1
6.056000e1,3.651471e2,-5.332023e1
6.060000e1,3.650424e2,-5.568590e1
6.064000e1,3.641374e2,-5.900952e1
6.068000e1,3.637833e2,-6.135826e1
6.072000e1,3.629394e2,-6.374264e1
6.076000e1,3.626472e2,-6.681981e1
6.080000e1,3.625034e2,-6.898057e1
6.084000e1,3.617949e2,-7.224546e1
6.088000e1,3.611308e2,-7.574072e1
6.092000e1,3.603126e2,-7.733720e1
6.096000e1,3.598855e2,-7.995222e1
6.100000e1,3.594657e2,-8.242327e1
6.104000e1,3.586625e2,-8.422471e1
6.108000e1,3.582803e2,-8.706894e1
6.112000e1,3.581174e2,-8.926219e1
6.116000e1,3.571638e2,-9.250282e1
6.120000e1,3.560898e2,-9.503139e1
6.124000e1,3.550881e2,-9.640056e1
