Max Height Percentage, Count, Total Collision Count, Time increment tau[s], MaxH, StartH, Count of y_0' < y_max 
8.92%,325,,,,,
8.93%,295,,,,,
8.94%,300,,,,,
8.95%,280,,,,,
8.96%,317,,,,,
8.97%,311,,,,,
8.98%,288,,,,,
8.99%,304,,,,,
9%,302,,,,,
9.01%,306,,,,,
9.02%,316,,,,,
9.03%,308,,,,,
9.04%,303,,,,,
9.05%,312,,,,,
9.06%,280,,,,,
9.07%,320,,,,,
9.08%,302,,,,,
9.09%,324,,,,,
9.10%,304,,,,,
9.11%,289,,,,,
9.12%,270,,,,,
9.13%,300,,,,,
9.14%,297,,,,,
9.15%,329,,,,,
9.16%,300,,,,,
9.17%,338,,,,,
9.18%,307,,,,,
9.19%,273,,,,,
9.20%,271,,,,,
9.21%,299,,,,,
9.22%,282,,,,,
9.23%,295,,,,,
9.24%,289,,,,,
9.25%,306,,,,,
9.26%,332,,,,,
9.27%,311,,,,,
9.28%,301,,,,,
9.29%,268,,,,,
9.30%,285,,,,,
9.31%,326,,,,,
9.32%,269,,,,,
9.33%,299,,,,,
9.34%,334,,,,,
9.35%,306,,,,,
9.36%,315,,,,,
9.37%,297,,,,,
9.38%,293,,,,,
9.39%,283,,,,,
9.40%,294,,,,,
9.41%,306,,,,,
9.42%,321,,,,,
9.43%,335,,,,,
9.44%,294,,,,,
9.45%,341,,,,,
9.46%,310,,,,,
9.47%,321,,,,,
9.48%,307,,,,,
9.49%,295,,,,,
9.50%,305,,,,,
9.51%,314,,,,,
9.52%,305,,,,,
9.53%,313,,,,,
9.54%,331,,,,,
9.55%,309,,,,,
9.56%,323,,,,,
9.57%,308,,,,,
9.58%,302,,,,,
9.59%,309,,,,,
9.60%,270,,,,,
9.61%,276,,,,,
9.62%,282,,,,,
9.63%,342,,,,,
9.64%,324,,,,,
9.65%,301,,,,,
9.66%,336,,,,,
9.67%,329,,,,,
9.68%,298,,,,,
9.69%,295,,,,,
9.70%,300,,,,,
9.71%,305,,,,,
9.72%,309,,,,,
9.73%,315,,,,,
9.74%,307,,,,,
9.75%,298,,,,,
9.76%,283,,,,,
9.77%,294,,,,,
9.78%,329,,,,,
9.79%,327,,,,,
9.80%,299,,,,,
9.81%,303,,,,,
9.82%,299,,,,,
9.83%,274,,,,,
9.84%,313,,,,,
9.85%,306,,,,,
9.86%,261,,,,,
9.87%,332,,,,,
9.88%,288,,,,,
9.89%,288,,,,,
9.90%,296,,,,,
9.91%,295,,,,,
9.92%,289,,,,,
9.93%,305,,,,,
9.94%,307,,,,,
9.95%,316,,,,,
9.96%,299,,,,,
9.97%,269,,,,,
9.98%,273,,,,,
9.99%,317,,,,,
10%,296,,,,,
10.01%,304,,,,,
10.02%,298,,,,,
10.03%,303,,,,,
10.04%,320,,,,,
10.05%,303,,,,,
10.06%,298,,,,,
10.07%,333,,,,,
10.08%,282,,,,,
10.09%,268,,,,,
10.10%,319,,,,,
10.11%,267,,,,,
10.12%,286,,,,,
10.13%,299,,,,,
10.14%,286,,,,,
10.15%,317,,,,,
10.16%,294,,,,,
10.17%,289,,,,,
10.18%,312,,,,,
10.19%,298,,,,,
10.20%,316,,,,,
10.21%,310,,,,,
10.22%,304,,,,,
10.23%,313,,,,,
10.24%,296,,,,,
10.25%,287,,,,,
10.26%,291,,,,,
10.27%,316,,,,,
10.28%,289,,,,,
10.29%,308,,,,,
10.30%,294,,,,,
10.31%,282,,,,,
10.32%,304,,,,,
10.33%,304,,,,,
10.34%,324,,,,,
10.35%,321,,,,,
10.36%,256,,,,,
10.37%,323,,,,,
10.38%,297,,,,,
10.39%,292,,,,,
10.40%,298,,,,,
10.41%,344,,,,,
10.42%,310,,,,,
10.43%,334,,,,,
10.44%,294,,,,,
10.45%,335,,,,,
10.46%,319,,,,,
10.47%,321,,,,,
10.48%,298,,,,,
10.49%,316,,,,,
10.50%,359,,,,,
10.51%,301,,,,,
10.52%,281,,,,,
10.53%,311,,,,,
10.54%,305,,,,,
10.55%,316,,,,,
10.56%,292,,,,,
10.57%,329,,,,,
10.58%,324,,,,,
10.59%,330,,,,,
