t,x,dx,d2x,y,dy,d2y,p,V,S1,S2,F
0.005385,-0.009734846224,-1.114146273504,601.922750667678,0.000634086155,0.408605500496,182.89940358937,0.000457686722,113178.09183599852,0.0091467982268842,0.0013896666462546291,17.308940358937
0.00539,-0.009740416955,-1.111136659751,603.222690984553,0.000636129183,0.409519997514,183.058175872645,0.00045763856,113194.76743514798,0.009154932269279426,0.0013891098813910644,17.3248175872645
0.005395,-0.009745972638,-1.108120546296,604.521587036035,0.000638176783,0.410435288393,183.216220313701,0.000457590496,113211.41330235035,0.009163050277426215,0.0013885521000215058,17.3406220313701
0.0054,-0.009751513241,-1.105097938361,605.819408191457,0.000640228959,0.411351369495,183.373531805318,0.000457542531,113228.02906697968,0.009171152159529815,0.0013879933025234736,17.3563531805318
0.005405,-0.009757038731,-1.10206884132,607.116123628876,0.000642285716,0.412268237154,183.530105210809,0.000457494665,113244.61470464176,0.009179237822275171,0.001387433489006646,17.372010521080902
0.00541,-0.009762549075,-1.099033260702,608.411718350706,0.000644347057,0.41318588768,183.685940278164,0.000457446899,113261.16984434624,0.00918730717228761,0.0013868726601294666,17.3875940278164
0.005415,-0.009768044241,-1.09599120211,609.706161497101,0.000646412986,0.414104317381,183.841031917741,0.000457399233,113277.69446151025,0.009195360117599931,0.0013863108162823182,17.4031031917741
0.00542,-0.009773524197,-1.092942671303,610.999438070033,0.000648483508,0.415023522541,183.995379815165,0.000457351668,113294.18818478263,0.00920339656619175,0.0013857479575880914,17.4185379815165
0.005425,-0.00977898891,-1.089887674113,612.291516979996,0.000650558626,0.41594349944,184.14897892804,0.000457304205,113310.65064250347,0.00921141642452247,0.001385184084717775,17.433897892804
0.00543,-0.009784438348,-1.086826216528,613.582367142221,0.000652638343,0.416864244335,184.301824220896,0.000457256844,113327.08180968348,0.00921941960046542,0.001384619198346206,17.449182422089603
0.005435,-0.009789872479,-1.083758304692,614.871973388698,0.000654722664,0.417785753456,184.453915395268,0.000457209586,113343.48131430845,0.009227406001844012,0.0013840532986091783,17.4643915395268
0.00544,-0.009795291271,-1.080683944825,616.160304505065,0.000656811593,0.418708023033,184.605247391047,0.000457162431,113359.84913120906,0.009235375536432841,0.0013834863859185805,17.4795247391047
0.005445,-0.009800694691,-1.077603143302,617.447345131816,0.000658905133,0.41963104927,184.755819992139,0.000457115381,113376.18454078512,0.009243328110486492,0.001382918460961831,17.494581999213903
0.00545,-0.009806082707,-1.074515906576,618.733047864168,0.000661003288,0.42055482837,184.905623350186,0.000457068435,113392.48786475479,0.009251263631682084,0.001382349524159101,17.5095623350186
0.005455,-0.009811455287,-1.071422241337,620.017413375127,0.000663106062,0.421479356487,185.054662024739,0.000457021595,113408.75838300062,0.009259182007651263,0.0013817795759348793,17.5244662024739
0.00546,-0.009816812398,-1.06832215427,621.300393999283,0.000665213459,0.422404629797,185.202926180898,0.000456974861,113424.99606974763,0.009267083144505861,0.0013812086167179739,17.5392926180898
0.005465,-0.009822154009,-1.0652156523,622.581974338738,0.000667325482,0.423330644428,185.350415625744,0.000456928234,113441.20055168726,0.009274966951263203,0.0013806366472122757,17.5540415625744
0.00547,-0.009827480087,-1.062102742428,623.862122647391,0.000669442135,0.424257396506,185.497125337348,0.000456881714,113457.3718028762,0.009282833333947664,0.0013800636678548972,17.5687125337348
