"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.421309011E1,-3.558750153E1,5.448750305E1,1.818750024E0,6.510503902E1
1.422309011E1,-3.551250076E1,5.437500381E1,1.706250072E0,6.496683800E1
1.423309011E1,-3.523125076E1,5.418750381E1,2.025000095E0,6.466550259E1
1.424309011E1,-3.523125076E1,5.428125381E1,2.025000095E0,6.474408213E1
1.425309011E1,-3.547500229E1,5.433750153E1,2.118750095E0,6.492710498E1
1.426309011E1,-3.549375153E1,5.433750153E1,2.156250000E0,6.493858548E1
1.427309011E1,-3.562500000E1,5.416875076E1,2.193750143E0,6.487069233E1
1.428309011E1,-3.560625076E1,5.431875229E1,2.306250095E0,6.498962020E1
1.429309011E1,-3.590625000E1,5.409375381E1,2.475000143E0,6.497321461E1
1.430309011E1,-3.611250305E1,5.409375381E1,2.868750095E0,6.510358520E1
1.431309011E1,-3.626250076E1,5.415000153E1,2.625000000E0,6.522332598E1
1.432309011E1,-3.628125000E1,5.411250305E1,2.568750143E0,6.520038777E1
1.433309011E1,-3.631875229E1,5.422500229E1,2.193750143E0,6.530095850E1
1.434309011E1,-3.622500229E1,5.424375153E1,2.512500048E0,6.527593758E1
1.435309011E1,-3.620625305E1,5.431875229E1,2.212500095E0,6.531703275E1
1.436309011E1,-3.631875229E1,5.433750153E1,2.175000191E0,6.539378002E1
1.437309011E1,-3.630000305E1,5.448750305E1,1.931250095E0,6.550044227E1
1.438309011E1,-3.618750000E1,5.435625076E1,1.650000095E0,6.532120371E1
1.439309011E1,-3.626250076E1,5.424375153E1,1.443750024E0,6.526436972E1
1.440309011E1,-3.641250229E1,5.407500076E1,1.687500119E0,6.521367715E1
1.441309011E1,-3.639375305E1,5.409375381E1,1.987500072E0,6.522721533E1
1.442309011E1,-3.652500153E1,5.401875305E1,1.725000024E0,6.523095157E1
1.443309011E1,-3.682500076E1,5.415000153E1,2.025000095E0,6.551644047E1
1.444309011E1,-3.693750000E1,5.396250153E1,1.968750119E0,6.542328679E1
1.445309011E1,-3.684375000E1,5.383125305E1,2.362500191E0,6.527516470E1
