Unit:(mV)
                     CH1         CH2
Frequency      13.682 Hz   11.901 Hz
00669             -28.00     -960.00
00670             -28.00     -960.00
00671             -32.00    -1000.00
00672             -32.00    -1000.00
00673             -52.00    -1000.00
00674             -80.00    -1040.00
00675            -116.00    -1040.00
00676            -116.00    -1000.00
00677            -120.00     -720.00
00678            -120.00     -400.00
00679            -116.00     -280.00
00680            -116.00     -240.00
00681            -120.00     -280.00
00682            -116.00     -280.00
00683            -112.00     -240.00
00684            -116.00     -240.00
00685            -116.00     -280.00
00686            -108.00     -280.00
00687             -84.00     -640.00
00688             -52.00    -1280.00
00689             -36.00    -1760.00
00690             -24.00    -1800.00
00691             -24.00    -1840.00
00692             -32.00    -1840.00
00693             -28.00    -1840.00
00694             -24.00    -1840.00
00695             -24.00    -1840.00
00696             -32.00    -1880.00
00697             -24.00    -1880.00
00698             -28.00    -1680.00
00699             -32.00    -1200.00
00700             -28.00     -360.00
00701             -56.00     -320.00
00702             -84.00     -280.00
00703            -112.00     -280.00
00704            -128.00     -280.00
00705            -124.00     -240.00
00706            -124.00     -240.00
00707            -124.00     -280.00
00708            -124.00     -280.00
00709            -132.00     -760.00
00710            -124.00    -1240.00
00711            -124.00    -1480.00
00712            -120.00    -1480.00
00713            -120.00    -1480.00
00714            -120.00    -1520.00
00715            -112.00    -1520.00
00716            -120.00    -1560.00
00717            -108.00    -1560.00
00718             -84.00    -1600.00
00719             -60.00    -1520.00
00720             -32.00    -1200.00
00721             -28.00     -600.00
00722             -24.00     -280.00
00723             -24.00     -280.00
00724             -28.00     -280.00
00725             -28.00     -240.00
00726             -28.00     -240.00
00727             -28.00     -240.00
00728             -28.00     -200.00
00729             -28.00     -200.00
00730             -28.00     -560.00
00731             -32.00    -1080.00
00732             -48.00    -1520.00
00733             -68.00    -1520.00
00734             -88.00    -1520.00
00735             -88.00    -1520.00
00736             -84.00    -1520.00
00737             -84.00    -1560.00
00738             -80.00    -1560.00
00739             -80.00    -1560.00
00740             -76.00    -1560.00
00741             -80.00    -1360.00
00742             -80.00     -840.00
00743             -80.00     -280.00
00744             -80.00     -280.00
00745             -76.00     -280.00
00746             -76.00     -280.00
00747             -72.00     -240.00
00748             -60.00     -240.00
00749             -40.00     -200.00
00750             -24.00     -240.00
00751             -28.00     -360.00
00752             -32.00     -960.00
00753             -28.00    -1520.00
00754             -28.00    -1680.00
00755             -24.00    -1680.00
00756             -28.00    -1680.00
00757             -32.00    -1720.00
00758             -28.00    -1720.00
00759             -32.00    -1720.00
00760             -28.00    -1720.00
00761             -32.00    -1760.00
00762             -60.00    -1760.00
00763             -88.00    -1400.00
00764            -112.00     -800.00
00765            -112.00     -360.00
00766            -124.00     -320.00
00767            -120.00     -320.00
00768            -116.00     -280.00
00769            -120.00     -280.00
00770            -120.00     -280.00
00771            -120.00     -280.00
00772            -116.00     -280.00
00773            -124.00     -280.00
00774            -116.00     -920.00
00775            -116.00    -1560.00
00776            -120.00    -1760.00
00777            -104.00    -1800.00
00778             -80.00    -1760.00
00779             -48.00    -1840.00
00780             -24.00    -1840.00
00781             -28.00    -1840.00
00782             -28.00    -1840.00
00783             -28.00    -1840.00
00784             -32.00    -1880.00
00785             -24.00    -1760.00
00786             -32.00    -1280.00
00787             -32.00     -400.00
00788             -28.00     -280.00
00789             -32.00     -280.00
00790             -60.00     -280.00
00791            -104.00     -280.00
00792            -124.00     -240.00
00793            -120.00     -240.00
00794            -124.00     -240.00
00795            -124.00     -240.00
00796            -124.00     -280.00
00797            -128.00     -880.00
00798            -128.00    -1400.00
00799            -124.00    -1560.00
00800            -120.00    -1560.00
00801             -88.00    -1600.00
00802             -44.00    -1560.00
00803             -32.00    -1600.00
00804             -32.00    -1560.00
00805             -28.00    -1560.00
00806             -28.00    -1600.00
00807             -28.00    -1680.00
00808             -28.00    -1600.00
00809             -32.00    -1200.00
00810             -60.00     -600.00
00811            -108.00     -360.00
00812            -120.00     -320.00
00813            -120.00     -280.00
00814            -116.00     -360.00
00815            -116.00     -240.00
00816            -120.00     -280.00
00817            -124.00     -280.00
00818            -116.00     -280.00
00819            -116.00     -240.00
00820             -84.00     -640.00
00821             -44.00    -1200.00
00822             -28.00    -1560.00
00823             -32.00    -1560.00
00824             -28.00    -1600.00
00825             -24.00    -1600.00
00826             -28.00    -1640.00
00827             -32.00    -1640.00
00828             -32.00    -1640.00
00829             -64.00    -1640.00
00830            -104.00    -1640.00
00831            -128.00    -1680.00
00832            -120.00    -1360.00
00833            -128.00     -760.00
00834            -124.00     -320.00
00835            -124.00     -320.00
00836            -128.00     -280.00
00837            -124.00     -280.00
00838            -116.00     -280.00
00839             -80.00     -280.00
00840             -32.00     -240.00
00841             -28.00     -280.00
00842             -28.00     -240.00
00843             -24.00     -480.00
00844             -32.00     -800.00
00845             -28.00    -1040.00
00846             -32.00    -1040.00
00847             -48.00     -960.00
00848             -96.00     -960.00
00849            -132.00    -1000.00
00850            -128.00    -1040.00
00851            -124.00    -1080.00
00852            -128.00    -1040.00
00853            -124.00    -1080.00
00854            -128.00    -1000.00
00855            -124.00     -720.00
00856            -120.00     -400.00
00857             -80.00     -280.00
00858             -32.00     -240.00
00859             -32.00     -280.00
00860             -24.00     -280.00
00861             -32.00     -280.00
00862             -32.00     -280.00
00863             -24.00     -280.00
00864             -28.00     -280.00
00865             -52.00     -600.00
00866            -100.00    -1280.00
00867            -120.00    -1720.00
00868            -116.00    -1840.00
00869            -120.00    -1840.00
00870            -112.00    -1880.00
00871            -120.00    -1840.00
00872            -116.00    -1880.00
00873            -116.00    -1840.00
00874            -104.00    -1880.00
00875             -64.00    -1880.00
00876             -28.00    -1760.00
00877             -32.00    -1280.00
00878             -32.00     -520.00
00879             -28.00     -360.00
00880             -24.00     -320.00
00881             -28.00     -320.00
00882             -32.00     -280.00
00883             -52.00     -240.00
00884            -104.00     -240.00
00885            -128.00     -200.00
00886            -132.00     -240.00
00887            -128.00     -720.00
00888            -124.00    -1160.00
00889            -132.00    -1440.00
00890            -120.00    -1520.00
00891            -120.00    -1480.00
00892            -112.00    -1520.00
00893             -76.00    -1520.00
00894             -32.00    -1560.00
00895             -24.00    -1560.00
00896             -28.00    -1560.00
00897             -32.00    -1560.00
00898             -32.00    -1200.00
00899             -28.00     -640.00
00900             -24.00     -320.00
00901             -48.00     -320.00
00902             -76.00     -280.00
00903             -88.00     -280.00
00904             -84.00     -240.00
00905             -76.00     -240.00
00906             -76.00     -200.00
00907             -80.00     -200.00
00908             -80.00     -440.00
00909             -72.00    -1080.00
00910             -72.00    -1480.00
00911             -60.00    -1520.00
00912             -32.00    -1520.00
00913             -24.00    -1520.00
00914             -28.00    -1520.00
00915             -28.00    -1560.00
00916             -28.00    -1560.00
00917             -24.00    -1560.00
00918             -28.00    -1560.00
00919             -28.00    -1360.00
00920             -48.00     -880.00
00921             -92.00     -280.00
00922            -116.00     -280.00
00923            -116.00     -240.00
00924            -116.00     -280.00
00925            -116.00     -240.00
00926            -120.00     -240.00
00927            -120.00     -240.00
00928            -120.00     -200.00
00929            -120.00     -240.00
00930            -116.00     -840.00
00931            -104.00    -1440.00
00932             -68.00    -1680.00
00933             -28.00    -1680.00
00934             -32.00    -1680.00
00935             -28.00    -1680.00
00936             -32.00    -1720.00
00937             -32.00    -1720.00
00938             -28.00    -1720.00
00939             -36.00    -1760.00
00940             -24.00    -1800.00
00941             -32.00    -1560.00
00942             -48.00     -960.00
00943             -84.00     -360.00
00944            -112.00     -360.00
00945            -124.00     -320.00
00946            -120.00     -360.00
00947            -132.00     -320.00
00948            -124.00     -280.00
00949            -124.00     -280.00
00950            -120.00     -280.00
00951            -120.00     -240.00
00952            -124.00     -680.00
00953            -124.00    -1400.00
00954            -108.00    -1760.00
00955             -68.00    -1840.00
00956             -36.00    -1840.00
00957             -28.00    -1800.00
00958             -28.00    -1840.00
00959             -28.00    -1880.00
00960             -28.00    -1880.00
00961             -28.00    -1880.00
00962             -36.00    -1880.00
00963             -32.00    -1880.00
00964             -32.00    -1480.00
00965             -48.00     -640.00
00966             -84.00     -280.00
00967            -116.00     -280.00
00968            -116.00     -280.00
00969            -120.00     -280.00
00970            -116.00     -240.00
00971            -116.00     -240.00
00972            -116.00     -240.00
00973            -120.00     -200.00
00974            -120.00     -240.00
00975            -112.00     -760.00
00976            -116.00    -1360.00
00977            -116.00    -1560.00
00978            -104.00    -1560.00
00979             -80.00    -1560.00
00980             -44.00    -1560.00
00981             -32.00    -1560.00
00982             -24.00    -1560.00
00983             -24.00    -1600.00
00984             -32.00    -1600.00
00985             -28.00    -1600.00
00986             -28.00    -1560.00
00987             -28.00    -1200.00
00988             -32.00     -600.00
00989             -32.00     -320.00
00990             -28.00     -320.00
00991             -32.00     -320.00
00992             -44.00     -320.00
00993             -64.00     -280.00
00994             -92.00     -320.00
00995            -112.00     -240.00
00996            -120.00     -280.00
00997            -124.00     -240.00
00998            -120.00     -640.00
00999            -120.00    -1240.00
01000            -120.00    -1560.00
01001            -120.00    -1560.00
01002            -124.00    -1640.00
01003            -128.00    -1640.00
01004            -124.00    -1600.00
01005            -116.00    -1680.00
01006            -124.00    -1640.00
01007            -124.00    -1600.00
