d, omega_{driving}, omega_{driven}/omega_{driving}, Delta phi, t_{run}, Avg, Dev, Switch dir., Avg deriv., Linear fit coef.
12.25,10.0,1.53,0.0,25.0,-1.199875067448811,0.1594988166550372,False,0.025926878812649563,0.025827292172472927
12.25,10.0,1.54,0.0,25.0,-1.210143428123636,0.15886670221724924,False,0.025772517256426677,0.025690100274045675
12.25,10.0,1.55,0.0,25.0,-1.2201256068799098,0.15848622164522058,False,0.025564182099802043,0.025591052646807787
12.25,10.0,1.56,0.0,25.0,-1.229758724416609,0.15834852838019722,False,0.025388496542961526,0.02553706659140337
12.25,10.0,1.57,0.0,25.0,-1.239066466474137,0.15850281746118866,False,0.025315549837711705,0.025544170846794115
12.25,10.0,1.58,0.0,25.0,-1.248231891861471,0.15895502844562365,False,0.025369355928029212,0.025615703952675383
12.25,10.0,1.59,0.0,25.0,-1.2573417953935564,0.15948030911273198,False,0.02549285818495006,0.025710013586325575
12.25,10.0,1.6,0.0,25.0,-1.2662535674559219,0.15999351072574705,False,0.02559141588961423,0.02579604902143783
12.25,10.0,1.61,0.0,25.0,-1.2752248549009215,0.16052460628027185,False,0.025740681521405368,0.02589392236437276
12.25,10.0,1.62,0.0,25.0,-1.2843161681746416,0.16107323688649913,False,0.02593466319047585,0.025995073193427903
12.25,10.0,1.63,0.0,25.0,-1.2931767208518716,0.1615835257254099,False,0.02606480972798897,0.0260862929464358
12.25,10.0,1.64,0.0,25.0,-1.302318640084386,0.162082185213387,False,0.026261587188929136,0.026179378527468718
12.25,10.0,1.65,0.0,25.0,-1.3112287400496816,0.16257954860367713,False,0.026392679960193823,0.026266685133995344
12.25,10.0,1.66,0.0,25.0,-1.3203791688873134,0.16303565854060312,False,0.02655000074337034,0.026349990762799633
12.25,10.0,1.67,0.0,25.0,-1.329312616309373,0.16351315023239854,False,0.02665027433582116,0.026431095118634933
12.25,10.0,1.68,0.0,25.0,-1.3385285589445528,0.16391828309552803,False,0.026733960747552347,0.026501109009879304
12.25,10.0,1.69,0.0,25.0,-1.3474910181418618,0.16437789046870954,False,0.026781456396029912,0.02657520646334309
12.25,10.0,1.7,0.0,25.0,-1.3566627041234054,0.16475667870218155,False,0.026788833940644557,0.0266355161849607
12.25,10.0,1.71,0.0,25.0,-1.3658669171467903,0.16511612587598556,False,0.02677485138112034,0.026689771286631376
12.25,10.0,1.72,0.0,25.0,-1.3748646415888284,0.16555300918248403,False,0.026795818998225397,0.026757736580771043
12.25,10.0,1.73,0.0,25.0,-1.3840014259878406,0.16593068730781702,False,0.026812294485134117,0.02681578775111216
12.25,10.0,1.74,0.0,25.0,-1.3932242408267226,0.16626592482291908,False,0.026842099219839148,0.026867130974710822
12.25,10.0,1.75,0.0,25.0,-1.4023282322827273,0.16665289015249468,False,0.02690426480908348,0.026929073715189114
12.25,10.0,1.76,0.0,25.0,-1.4113422457170268,0.16709742363976157,False,0.02698558075226427,0.026999782815871214
12.25,10.0,1.77,0.0,25.0,-1.4203733476303626,0.16753047456152179,False,0.027075103689517297,0.027070188642632515
12.25,10.0,1.78,0.0,25.0,-1.4294479877203567,0.1679458535856347,False,0.027169438308295307,0.027137576295981215
12.25,10.0,1.79,0.0,25.0,-1.4385373353936222,0.16834679567386002,False,0.027264986861784704,0.027204046047417628
12.25,10.0,1.8,0.0,25.0,-1.4476159757005977,0.16875690631682624,False,0.027356152749941298,0.02727163748287417
12.25,10.0,1.81,0.0,25.0,-1.4566800872608758,0.16917605689315163,False,0.02743779814806617,0.027340447073184893
12.25,10.0,1.82,0.0,25.0,-1.4657318440012372,0.16960158490496355,False,0.02750755158675478,0.027409697956855314
12.25,10.0,1.83,0.0,25.0,-1.4747708696205228,0.1700394232246206,False,0.027567429790041377,0.027479766503421262
12.25,10.0,1.84,0.0,25.0,-1.483793479542737,0.1704891175029673,False,0.027622569412719816,0.02755160144842817
12.25,10.0,1.85,0.0,25.0,-1.4928130607886643,0.17094372590067128,False,0.027675848647908674,0.02762326752915809
12.25,10.0,1.86,0.0,25.0,-1.5018357514744287,0.17138950311110074,False,0.027730881162179925,0.027694564186381696
12.25,10.0,1.87,0.0,25.0,-1.5108843986699805,0.1718110256549951,False,0.02778798164392652,0.027762717889760955
12.25,10.0,1.88,0.0,25.0,-1.5199672020236807,0.17219473850271969,False,0.027848110742097275,0.02782645675477848
12.25,10.0,1.89,0.0,25.0,-1.5290376244046102,0.17259053983302583,False,0.027916139770596083,0.027891580605888883
12.25,10.0,1.9,0.0,25.0,-1.5380283879916694,0.17306309162184552,False,0.027996009585767256,0.027967000538522687
12.25,10.0,1.91,0.0,25.0,-1.546979990640149,0.17357326888821206,False,0.028082013002510665,0.02804773422139661
12.25,10.0,1.92,0.0,25.0,-1.5560189922655028,0.17399872049924042,False,0.028164370098279465,0.028117419289269394
12.25,10.0,1.93,0.0,25.0,-1.565098953891768,0.1743835025433813,False,0.028243350474391176,0.028181479495254746
12.25,10.0,1.94,0.0,25.0,-1.5740479194840058,0.17490145904266394,False,0.028329755463950855,0.028263938284933357
12.25,10.0,1.95,0.0,25.0,-1.5830543326833602,0.1753644180506513,False,0.028408209063188673,0.028338825405021334
12.25,10.0,1.96,0.0,25.0,-1.5921357120050343,0.17575795390488955,False,0.028474168390856733,0.028402949271131742
12.25,10.0,1.97,0.0,25.0,-1.601065632778259,0.17629980652341348,False,0.028551919583905315,0.028489509513466557
12.25,10.0,1.98,0.0,25.0,-1.6101451174234391,0.1766928615640367,False,0.02860891812940486,0.028552767525302555
12.25,10.0,1.99,0.0,25.0,-1.6190952687319615,0.1771995190397773,False,0.02867967490777989,0.028633863633163746
12.25,10.0,2.0,0.0,25.0,-1.6280940858754964,0.17762920290916578,False,0.02874260119765813,0.028702604426550964
12.25,10.0,2.025,0.0,25.0,-1.6501431211482094,0.17882152438724275,False,0.028970062183230453,0.02889628013470671
12.25,10.0,2.05,0.0,25.0,-1.6714339939731373,0.17999191456078834,False,0.029171108956647006,0.029089683889591246
12.25,10.0,2.075,0.0,25.0,-1.6929108205766432,0.18125350730540235,False,0.029429375884428576,0.029300573838115494
12.25,10.0,2.1,0.0,25.0,-1.7173958820073214,0.18232291323840308,False,0.029529640398721146,0.029456642608220368
12.25,10.0,2.125,0.0,25.0,-1.7389100422826802,0.18362663547568503,False,0.029737422843367396,0.029674011833870296
12.25,10.0,2.15,0.0,25.0,-1.7609313168818226,0.1849329912503284,False,0.02997532214792533,0.029886736083728726
12.25,10.0,2.175,0.0,25.0,-1.78286946095577,0.18624387235115114,False,0.03017427936818754,0.030101272209722585
12.25,10.0,2.2,0.0,25.0,-1.806572828038437,0.18710666494178604,False,0.030302928432847855,0.03022864915511053
12.25,10.0,2.225,0.0,25.0,-1.8271173713880686,0.18885555509055404,False,0.03059816846749426,0.030520241258824677
12.25,10.0,2.25,0.0,25.0,-1.848510477288202,0.19045276230931069,False,0.030833796566607174,0.03078032709988704
12.25,10.0,2.275,0.0,25.0,-1.8708061994405172,0.19172627383263297,False,0.031049908257211916,0.030982839589405294
12.25,10.0,2.3,0.0,25.0,-1.89297449724293,0.19303317187677,False,0.03125595888631352,0.03119120820827995
12.25,10.0,2.325,0.0,25.0,-1.9148091046088125,0.19450873878070715,False,0.03148252238753185,0.03142558625181947
12.25,10.0,2.35,0.0,25.0,-1.9366725255214485,0.19600963182322148,False,0.031717452542212775,0.03165826083997303
12.25,10.0,2.375,0.0,25.0,-1.9593817044622768,0.19682013318553296,False,0.03188130160119247,0.031804296187645305
12.25,10.0,2.4,0.0,25.0,-1.9822471776763988,0.1973599541108132,False,0.03203918337310713,0.031921755655089624
12.25,10.0,2.425,0.0,25.0,-2.0028606618472855,0.1999030784121399,False,0.03235766553650248,0.03228606592613212
12.25,10.0,2.45,0.0,25.0,-2.024971612640736,0.20098357955154147,False,0.03256372818413134,0.032479720367460274
12.25,10.0,2.475,0.0,25.0,-2.047049990282845,0.20215539402097385,False,0.032776240095490766,0.032674178262757245
12.25,10.0,2.5,0.0,25.0,-2.0685722708687173,0.20382778947754746,False,0.033024332111902484,0.032935897364965896
12.25,10.0,2.525,0.0,25.0,-2.0899790318235993,0.205577306075526,False,0.03329772985530522,0.03321718998757986
12.25,10.0,2.55,0.0,25.0,-2.1126461246646224,0.2061014946254931,False,0.033433996886996956,0.033311156138169304
12.25,10.0,2.575,0.0,25.0,-2.133672253246296,0.20820180916858705,False,0.03374412916310093,0.03364434350686231
12.25,10.0,2.6,0.0,25.0,-2.154819582373724,0.2101615693477745,False,0.03404190384085549,0.033964459919194556
12.25,10.0,2.625,0.0,25.0,-2.1765836224072466,0.21150978458017858,False,0.034273576130284845,0.03418414576258777
12.25,10.0,2.65,0.0,25.0,-2.1983930858817775,0.21279745152784074,False,0.034492473270154096,0.03439070870413343
12.25,10.0,2.675,0.0,25.0,-2.2200272061361,0.21423618714886442,False,0.03472423985550375,0.03462223253135916
12.25,10.0,2.7,0.0,25.0,-2.2414879820338034,0.21582911507304645,False,0.03499347512958072,0.034881380054892594
12.25,10.0,2.725,0.0,25.0,-2.2628420896764494,0.2175079376053011,False,0.03526419717125731,0.035157725479561266
12.25,10.0,2.75,0.0,25.0,-2.2842322674726456,0.2191332269138075,False,0.03555317466788164,0.035424509213271595
12.25,10.0,2.775,0.0,25.0,-2.305864024707084,0.22051395450804717,False,0.035752603692954216,0.03563840572918983
12.25,10.0,2.8,0.0,25.0,-2.3275471187753722,0.22183067400796838,False,0.03593975696274177,0.03583609397046984
12.25,10.0,2.825,0.0,25.0,-2.348725796684938,0.22361212763194344,False,0.03624562453156888,0.036135414199077405
12.25,10.0,2.85,0.0,25.0,-2.3699344322615676,0.22534437782597472,False,0.0365863953542079,0.03642351288468299
12.25,10.0,2.875,0.0,25.0,-2.3914436332628095,0.22678969510729102,False,0.03672127954705417,0.036642068180468654
12.25,10.0,2.9,0.0,25.0,-2.4125995452434146,0.2285365597608132,False,0.0371021820306781,0.03693537852589245
12.25,10.0,2.925,0.0,25.0,-2.433903064634433,0.2301472553839345,False,0.03729034653316909,0.037189747866859114
12.25,10.0,2.95,0.0,25.0,-2.455111903899251,0.23181894851100326,False,0.03761503832029894,0.03746244946847945
12.25,10.0,2.975,0.0,25.0,-2.4763100583463498,0.23349715437706425,False,0.03785143954629233,0.03773252333742812
12.25,10.0,3.0,0.0,25.0,-2.49747627603974,0.23517905057756486,False,0.0381528245023422,0.03800475327533201
12.25,10.0,3.025,0.0,25.0,-2.5185931147995433,0.2368822766291145,False,0.038410266719648006,0.038279608364005936
12.25,10.0,3.05,0.0,25.0,-2.5396478539716116,0.23858616931969157,False,0.038706989807521505,0.03855542487093722
12.25,10.0,3.075,0.0,25.0,-2.560645546393547,0.24031302500929028,False,0.038978228326225994,0.03883473417625563
12.25,10.0,3.1,0.0,25.0,-2.5817186419291698,0.2420477438306617,False,0.03927083580831968,0.03911508573655404
12.25,10.0,3.125,0.0,25.0,-2.602879111060549,0.2437920173812971,False,0.039540739740938045,0.03939573646838936
12.25,10.0,3.15,0.0,25.0,-2.6237735904412913,0.24555438317930925,False,0.03983970737308135,0.039681468607893025
12.25,10.0,3.175,0.0,25.0,-2.6447084777258056,0.2473294426273086,False,0.04012269132816845,0.03996832103947875
12.25,10.0,3.2,0.0,25.0,-2.6657327699632707,0.24909795786539476,False,0.040415553869375176,0.040253466847126294
12.25,10.0,3.225,0.0,25.0,-2.686539031765916,0.2509082793786324,False,0.04070740487156398,0.040546686620057615
12.25,10.0,3.25,0.0,25.0,-2.707459929382768,0.2527039972718191,False,0.04100403536270876,0.04083658767683804
12.25,10.0,3.275,0.0,25.0,-2.7283622178957323,0.25450711738471654,False,0.041294605335999754,0.041127417670337216
12.25,10.0,3.3,0.0,25.0,-2.749049914683954,0.2563701263929803,False,0.04160154087502444,0.04142940916324631
12.25,10.0,3.325,0.0,25.0,-2.769883137606778,0.2581988203863691,False,0.0418986302733469,0.04172459768762376
12.25,10.0,3.35,0.0,25.0,-2.7907333728459105,0.2600172468206309,False,0.04219698061046667,0.04201814008040583
12.25,10.0,3.375,0.0,25.0,-2.8114781126866903,0.2618724155083214,False,0.04250062111411959,0.04231801221820741
12.25,10.0,3.4,0.0,25.0,-2.8321566543469787,0.2637552754808414,False,0.0428069248861348,0.042622308292573956
12.25,10.0,3.425,0.0,25.0,-2.8528134195408805,0.2656486149206956,False,0.043117788720824925,0.042928318413879056
12.25,10.0,3.45,0.0,25.0,-2.873462518890508,0.2675438579011772,False,0.04342506499882385,0.043234608635789595
12.25,10.0,3.475,0.0,25.0,-2.894101705928848,0.26943996857076746,False,0.04373856827903864,0.043541256400305206
12.25,10.0,3.5,0.0,25.0,-2.9147213232667415,0.27133903991114744,False,0.044047393922470944,0.043848686145035044
12.25,10.0,3.525,0.0,25.0,-2.935288363550925,0.2732638035610096,False,0.04436534827424388,0.0441602270048796
12.25,10.0,3.55,0.0,25.0,-2.9557726580281365,0.27524750347075727,False,0.044683716938695286,0.04447913821114386
12.25,10.0,3.575,0.0,25.0,-2.976227946585827,0.27724822615827993,False,0.04500790782224753,0.044800532339339894
12.25,10.0,3.6,0.0,25.0,-2.996772281871492,0.2791562218266066,False,0.04532420632051395,0.045111203033471416
12.25,10.0,3.625,0.0,25.0,-3.0172824488210663,0.28108268921468643,False,0.045642310039371775,0.04542397132260657
12.25,10.0,3.65,0.0,25.0,-3.0376170755341207,0.2831593947885085,False,0.04597521122730168,0.045755911739648894
12.25,10.0,3.675,0.0,25.0,-3.0580909371574627,0.28508471900259147,False,0.046294114317954216,0.04606959361533789
12.25,10.0,3.7,0.0,25.0,-3.078444608235816,0.28711279376048204,False,0.04662550664548389,0.046396576935848866
12.25,10.0,3.725,0.0,25.0,-3.0987949621174486,0.28912938530167115,False,0.046953925394477354,0.046722214600890134
12.25,10.0,3.75,0.0,25.0,-3.119121591837344,0.2911523064729702,False,0.04728537359139386,0.04704926509923785
12.25,10.0,3.775,0.0,25.0,-3.1394381084528358,0.29316988487452966,False,0.04761712235801041,0.04737551245923871
